iter	Passed	Remaining
0	130	129906
1	130	65312
2	131	43782
3	132	32932
4	132	26420
5	133	22076
6	133	18974
7	134	16646
8	134	14835
9	135	13383
10	135	12197
11	136	11209
12	136	10372
13	137	9655
14	137	9034
15	138	8489
16	138	8010
17	139	7583
18	139	7202
19	139	6857
20	140	6546
21	140	6264
22	141	6006
23	141	5769
24	142	5551
25	142	5349
26	143	5162
27	143	4988
28	144	4827
29	145	4709
30	146	4574
31	146	4446
32	147	4329
33	148	4213
34	148	4103
35	149	3999
36	149	3899
37	150	3805
38	150	3715
39	151	3629
40	151	3548
41	152	3471
42	152	3397
43	153	3327
44	153	3259
45	154	3195
46	154	3133
47	155	3074
48	155	3018
49	155	2963
50	156	2911
51	156	2860
52	157	2812
53	157	2766
54	158	2721
55	158	2678
56	159	2637
57	160	2598
58	160	2559
59	161	2522
60	161	2486
61	161	2450
62	162	2416
63	162	2382
64	163	2350
65	163	2318
66	164	2288
67	164	2258
68	165	2229
69	165	2201
70	166	2174
71	166	2148
72	167	2123
73	167	2098
74	168	2074
75	168	2050
76	169	2027
77	169	2004
78	170	1983
79	170	1961
80	171	1940
81	171	1920
82	171	1898
83	172	1879
84	172	1860
85	173	1842
86	173	1825
87	174	1811
88	175	1799
89	176	1784
90	177	1768
91	177	1752
92	178	1736
93	178	1720
94	179	1705
95	179	1691
96	180	1676
97	180	1662
98	181	1648
99	181	1634
100	182	1622
101	182	1609
102	183	1596
103	183	1584
104	184	1571
105	184	1559
106	185	1547
107	186	1536
108	186	1524
109	187	1513
110	187	1502
111	188	1491
112	188	1481
113	189	1470
114	190	1462
115	190	1452
116	191	1441
117	191	1432
118	192	1422
119	192	1413
120	193	1403
121	193	1393
122	194	1384
123	194	1375
124	195	1366
125	195	1357
126	196	1348
127	196	1340
128	197	1332
129	197	1323
130	198	1316
131	198	1308
132	199	1300
133	200	1293
134	200	1285
135	201	1277
136	201	1270
137	202	1263
138	202	1256
139	203	1248
140	203	1242
141	204	1234
142	205	1229
143	205	1222
144	206	1216
145	206	1209
146	207	1203
147	207	1196
148	208	1190
149	208	1184
150	209	1177
151	210	1171
152	210	1165
153	211	1159
154	211	1153
155	212	1148
156	212	1142
157	213	1136
158	213	1130
159	214	1125
160	214	1118
161	215	1113
162	215	1107
163	216	1102
164	216	1097
165	217	1092
166	217	1087
167	218	1081
168	219	1077
169	219	1073
170	220	1069
171	221	1065
172	221	1060
173	222	1056
174	223	1051
175	223	1046
176	224	1041
177	224	1037
178	225	1033
179	225	1028
180	226	1024
181	226	1020
182	227	1015
183	228	1011
184	228	1006
185	229	1002
186	229	998
187	230	994
188	230	989
189	231	985
190	231	981
191	232	977
192	232	973
193	233	969
194	233	965
195	234	963
196	235	959
197	235	955
198	236	952
199	237	948
200	237	945
201	238	941
202	238	937
203	239	933
204	239	930
205	240	926
206	240	922
207	241	919
208	241	915
209	242	912
210	243	909
211	243	905
212	244	902
213	244	899
214	245	895
215	245	892
216	246	889
217	246	885
218	247	882
219	248	879
220	248	876
221	249	873
222	249	870
223	250	867
224	251	864
225	251	861
226	252	858
227	252	855
228	253	852
229	253	849
230	254	846
231	254	844
232	255	841
233	256	838
234	256	835
235	257	832
236	257	829
237	258	826
238	258	823
239	259	820
240	259	817
241	260	815
242	260	812
243	261	809
244	261	807
245	262	804
246	262	801
247	263	799
248	264	796
249	264	794
250	265	792
251	266	789
252	266	787
253	267	785
254	267	782
255	268	780
256	269	777
257	269	775
258	270	772
259	270	770
260	271	767
261	271	765
262	272	762
263	272	760
264	273	757
265	273	755
266	274	752
267	274	750
268	275	748
269	275	745
270	276	743
271	276	741
272	277	738
273	277	736
274	278	734
275	278	731
276	279	729
277	280	728
278	281	726
279	282	725
280	282	724
281	283	721
282	284	719
283	284	717
284	285	715
285	285	713
286	286	710
287	286	708
288	287	706
289	287	704
290	288	702
291	288	700
292	289	698
293	289	696
294	290	694
295	290	692
296	291	690
297	292	687
298	292	686
299	293	684
300	293	682
301	294	680
302	294	678
303	295	676
304	296	675
305	296	673
306	297	671
307	297	669
308	298	667
309	299	665
310	299	663
311	300	661
312	300	659
313	301	658
314	301	656
315	302	654
316	302	652
317	303	650
318	304	648
319	304	647
320	305	645
321	305	643
322	306	641
323	306	639
324	307	638
325	307	636
326	308	634
