iter	Passed	Remaining
0	0	777
1	1	696
2	2	666
3	2	660
4	3	704
5	4	788
6	5	766
7	6	745
8	6	719
9	7	701
10	7	686
11	8	681
12	8	678
13	9	677
14	10	668
15	10	663
16	11	654
17	12	655
18	12	653
19	13	646
20	13	641
21	14	638
22	14	636
23	15	635
24	16	632
25	16	629
26	18	657
27	19	666
28	19	664
29	20	658
30	20	655
31	21	652
32	22	648
33	22	648
34	23	645
35	24	655
36	25	654
37	25	652
38	26	649
39	26	646
40	27	643
41	28	640
42	28	637
43	29	635
44	29	633
45	30	634
46	31	631
47	32	635
48	32	638
49	33	635
50	33	631
51	34	628
52	35	626
53	35	626
54	36	624
55	37	624
56	37	623
57	38	622
58	38	620
59	39	617
60	40	615
61	40	614
62	41	613
63	41	613
64	42	612
65	43	611
66	43	609
67	44	608
68	45	607
69	45	604
70	46	607
71	47	615
72	48	614
73	49	613
74	49	613
75	50	612
76	51	611
77	51	610
78	52	608
79	52	607
80	53	606
81	54	604
82	54	605
83	55	603
84	55	601
85	56	600
86	57	599
87	57	597
88	58	595
89	58	594
90	59	593
91	60	592
92	62	607
93	63	609
94	63	608
95	64	606
96	64	604
97	65	602
98	66	600
99	66	598
100	66	596
101	67	594
102	68	592
103	68	590
104	69	588
105	69	586
106	70	584
107	70	583
108	71	581
109	71	579
110	72	577
111	72	576
112	73	575
113	73	573
114	74	571
115	75	572
116	76	574
117	76	574
118	77	572
119	77	571
120	78	567
121	78	565
122	79	564
123	79	562
124	80	561
125	80	559
126	80	556
127	81	554
128	82	554
129	82	552
130	83	551
131	83	549
132	84	548
133	84	547
134	85	547
135	85	545
136	86	544
137	86	543
138	87	542
139	88	540
140	88	539
141	89	538
142	89	539
143	90	538
144	91	537
145	91	536
146	92	535
147	92	533
148	93	532
149	93	531
150	94	529
151	94	528
152	95	526
153	95	525
154	96	524
155	96	523
156	97	522
157	97	521
158	98	519
159	98	518
160	99	517
161	99	516
162	100	514
163	100	513
164	101	512
165	101	511
166	102	510
167	102	509
168	103	510
169	104	509
170	105	509
171	105	508
172	106	507
173	106	506
174	107	505
175	107	503
176	108	502
177	108	501
178	109	500
179	109	500
180	110	499
181	110	498
182	111	497
183	111	496
184	112	495
185	112	494
186	113	493
187	113	492
188	114	491
189	114	490
190	115	489
191	116	488
192	116	487
193	117	487
194	118	487
195	118	486
196	119	486
197	119	485
198	120	484
199	120	483
200	121	482
201	121	481
202	122	480
203	122	479
204	123	478
205	123	477
206	124	476
207	125	476
208	125	475
209	126	474
210	126	473
211	127	472
212	127	471
213	127	469
214	128	468
215	128	467
216	129	467
217	130	466
218	130	466
219	131	465
220	132	466
221	133	467
222	134	466
223	134	466
224	135	465
225	135	464
226	136	463
227	136	462
228	137	461
229	137	460
230	138	459
231	138	458
232	139	457
233	139	456
234	140	455
235	140	455
236	141	454
237	141	453
238	142	453
239	142	452
240	143	451
241	143	450
242	144	449
243	144	448
244	145	448
245	146	447
246	147	450
247	148	450
248	148	449
249	149	448
250	150	447
251	150	446
252	151	445
253	151	444
254	152	444
255	152	443
256	153	442
257	153	442
258	154	441
259	154	440
260	155	439
261	155	438
262	156	437
263	156	437
264	157	436
265	157	435
266	158	434
267	158	433
268	159	433
269	159	432
270	160	431
271	161	432
272	162	431
273	162	430
274	163	430
275	163	429
276	164	428
277	165	428
278	165	427
279	166	427
280	166	426
281	167	425
282	167	424
283	168	424
284	168	423
285	169	422
286	169	422
287	170	421
288	170	420
289	171	419
290	171	419
291	172	418
292	172	417
293	173	416
294	174	416
295	174	415
296	175	415
297	176	415
298	176	414
299	177	414
300	177	413
301	178	412
302	179	411
303	179	411
304	180	410
305	180	409
306	181	408
307	181	407
308	182	407
309	182	407
310	183	406
311	183	405
312	184	404
313	185	404
314	185	403
315	186	402
316	186	402
317	187	401
318	187	401
319	188	400
320	188	399
321	189	399
322	190	400
323	191	399
324	191	398
325	192	398
326	193	397
327	193	396
328	194	395
329	194	395
330	195	394
331	195	393
332	196	393
333	196	392
334	197	391
335	197	390
336	198	390
337	198	389
338	199	388
339	199	388
340	200	387
341	200	386
342	201	385
343	201	385
344	202	384
345	202	383
346	203	382
347	204	382
348	204	382
349	205	381
350	206	380
351	206	380
352	207	379
353	207	378
354	208	378
355	209	378
356	209	378
357	210	377
358	211	376
359	211	376
360	212	375
361	212	375
362	213	374
363	214	373
364	214	373
365	215	372
366	215	371
367	216	371
368	216	370
369	217	369
370	217	369
371	218	368
372	219	368
373	219	368
374	220	367
375	221	367
376	221	366
377	222	365
378	223	365
379	223	364
380	224	364
381	224	363
382	225	362
383	225	362
384	226	361
385	226	360
386	227	360
387	228	359
388	228	359
389	229	358
390	229	357
391	230	356
392	230	356
393	231	355
394	231	354
395	232	354
396	232	353
397	233	353
398	234	352
399	235	352
400	235	352
401	236	351
402	236	350
403	237	350
404	238	349
405	238	349
406	239	348
407	240	348
408	240	347
409	241	347
410	242	346
411	242	346
412	243	345
413	243	345
414	244	344
415	245	343
416	245	343
417	246	342
418	248	344
419	248	343
420	249	343
421	250	342
422	250	342
423	251	341
424	251	340
425	252	340
426	253	339
427	253	339
428	254	338
429	254	337
430	255	337
431	255	336
432	256	335
433	256	335
434	257	334
435	258	333
436	258	333
437	259	332
438	259	331
439	260	331
440	260	330
441	261	330
442	262	330
443	263	329
444	263	328
445	264	328
446	264	327
447	265	326
448	265	326
449	266	325
450	266	324
451	267	323
452	267	323
453	268	322
454	268	321
455	269	321
456	269	320
457	270	320
458	271	319
459	271	319
460	272	318
461	272	317
462	273	317
463	273	316
464	274	315
465	275	315
466	276	315
467	276	314
468	277	313
469	277	313
470	278	312
471	278	311
472	279	311
473	279	310
474	280	309
475	280	309
476	281	308
477	281	307
478	282	306
479	282	306
480	283	305
481	283	305
482	284	304
483	284	303
484	285	303
485	285	302
486	286	301
487	286	301
488	287	300
489	288	300
490	291	301
491	292	301
492	292	301
493	293	300
494	293	299
495	294	299
496	295	298
497	295	297
498	296	297
499	296	296
500	297	295
501	297	295
502	298	294
503	298	293
504	299	293
505	299	292
506	300	291
507	300	291
508	301	290
509	301	289
510	302	289
511	302	288
512	303	287
513	304	287
514	304	287
515	305	286
516	306	285
517	306	285
518	307	284
519	307	283
520	308	283
521	308	282
522	309	282
523	309	281
524	310	280
525	310	279
526	311	279
527	311	278
528	312	277
529	312	277
530	313	276
531	313	275
532	314	275
533	314	274
534	315	274
535	315	273
536	316	272
537	316	272
538	317	271
539	317	270
540	318	270
541	319	269
542	320	269
543	320	268
544	321	268
545	321	267
546	322	266
547	322	266
548	323	265
549	323	264
550	324	264
551	324	263
552	325	262
553	325	262
554	326	261
555	326	261
556	327	260
557	328	259
558	328	259
559	329	258
560	329	258
561	330	257
562	330	256
563	331	256
564	331	255
565	332	254
566	333	254
567	333	253
568	334	253
569	334	252
570	335	252
571	336	251
572	336	250
573	337	250
574	337	249
575	338	248
576	338	248
577	339	247
578	339	247
579	340	246
580	340	245
581	341	245
582	341	244
583	342	243
584	342	243
585	343	242
586	343	241
587	344	241
588	344	240
589	345	239
590	345	239
591	346	238
592	346	238
593	347	237
594	348	237
595	348	236
596	349	235
597	349	235
598	350	234
599	350	233
600	351	233
601	351	232
602	352	232
603	352	231
604	353	230
605	353	230
606	354	229
607	354	228
608	355	228
609	355	227
610	356	226
611	357	226
612	357	225
613	358	225
614	358	224
615	359	223
616	359	223
617	360	222
618	360	221
619	361	221
620	361	220
621	362	220
622	363	219
623	363	219
624	364	218
625	364	217
626	365	217
627	365	216
628	366	216
629	366	215
630	367	214
631	367	214
632	368	213
633	368	212
634	369	212
635	369	211
636	370	211
637	370	210
638	371	209
639	371	209
640	372	208
641	372	207
642	373	207
643	373	206
644	374	206
645	375	205
646	375	204
647	376	204
648	377	203
649	377	203
650	378	202
651	378	202
652	379	201
653	379	200
654	380	200
655	380	199
656	381	199
657	381	198
658	382	197
659	383	197
660	383	196
661	384	196
662	384	195
663	385	194
664	385	194
665	386	193
666	387	193
667	387	192
668	388	192
669	388	191
670	389	190
671	389	190
672	390	189
673	391	189
674	392	189
675	393	188
676	393	187
677	394	187
678	394	186
679	395	186
680	395	185
681	396	184
682	397	184
683	397	183
684	398	183
685	398	182
686	399	181
687	399	181
688	400	180
689	400	180
690	401	179
691	401	178
692	402	178
693	403	177
694	403	177
695	404	176
696	404	175
697	406	175
698	407	175
699	408	174
700	408	174
701	409	173
702	409	173
703	410	172
704	410	171
705	411	171
706	411	170
707	412	170
708	412	169
709	413	168
710	413	168
711	414	167
712	414	166
713	415	166
714	415	165
715	416	165
716	416	164
717	417	163
718	417	163
719	418	162
720	419	162
721	419	161
722	420	161
723	421	160
724	421	159
725	422	159
726	422	158
727	423	158
728	423	157
729	424	156
730	424	156
731	425	155
732	425	155
733	426	154
734	426	153
735	427	153
736	427	152
737	428	152
738	428	151
739	429	150
740	430	150
741	430	149
742	431	149
743	431	148
744	432	147
745	432	147
746	433	146
747	434	146
748	434	145
749	435	145
750	435	144
751	436	143
752	436	143
753	437	142
754	437	142
755	438	141
756	438	140
757	439	140
758	440	139
759	440	139
760	441	138
761	441	137
762	442	137
763	442	136
764	443	136
765	443	135
766	444	134
767	444	134
768	445	133
769	445	133
770	446	132
771	446	131
772	447	131
773	447	130
774	448	130
775	449	129
776	449	129
777	450	128
778	450	127
779	451	127
780	451	126
781	452	126
782	452	125
783	453	124
784	453	124
785	454	123
786	454	123
787	455	122
788	455	121
789	456	121
790	457	120
791	457	120
792	458	119
793	458	118
794	459	118
795	459	117
796	460	117
797	460	116
798	461	116
799	461	115
800	462	114
801	463	114
802	463	113
803	464	113
804	464	112
805	465	111
806	465	111
807	466	110
808	466	110
809	467	109
810	467	109
811	468	108
812	468	107
813	469	107
814	469	106
815	470	106
816	470	105
817	471	104
818	472	104
819	472	103
820	473	103
821	473	102
822	474	101
823	474	101
824	475	100
825	476	100
826	476	99
827	477	99
828	478	98
829	478	98
830	479	97
831	479	96
832	480	96
833	480	95
834	481	95
835	481	94
836	482	93
837	482	93
838	483	92
839	483	92
840	484	91
841	485	91
842	485	90
843	486	89
844	486	89
845	487	88
846	487	88
847	488	87
848	488	86
849	489	86
850	489	85
851	490	85
852	491	84
853	491	84
854	492	83
855	492	82
856	493	82
857	493	81
858	494	81
859	495	80
860	495	80
861	496	79
862	496	78
863	497	78
864	497	77
865	498	77
866	499	76
867	499	75
868	500	75
869	500	74
870	501	74
871	501	73
872	502	73
873	502	72
874	503	71
875	503	71
876	504	70
877	505	70
878	506	69
879	506	69
880	507	68
881	507	67
882	508	67
883	508	66
884	509	66
885	509	65
886	510	65
887	510	64
888	511	63
889	511	63
890	512	62
891	512	62
892	513	61
893	513	60
894	514	60
895	514	59
896	515	59
897	515	58
898	516	58
899	516	57
900	517	56
901	517	56
902	518	55
903	518	55
904	519	54
905	520	53
906	520	53
907	521	52
908	521	52
909	522	51
910	522	51
911	523	50
912	524	49
913	524	49
914	525	48
915	525	48
916	526	47
917	526	47
918	527	46
919	527	45
920	528	45
921	528	44
922	529	44
923	529	43
924	530	42
925	530	42
926	531	41
927	531	41
928	532	40
929	532	40
930	533	39
931	534	38
932	534	38
933	535	37
934	536	37
935	536	36
936	537	36
937	537	35
938	538	34
939	538	34
940	539	33
941	539	33
942	540	32
943	541	32
944	541	31
945	542	30
946	542	30
947	543	29
948	543	29
949	544	28
950	544	28
951	545	27
952	545	26
953	546	26
954	546	25
955	547	25
956	547	24
957	548	24
958	549	23
959	549	22
960	550	22
961	551	21
962	551	21
963	552	20
964	552	20
965	553	19
966	553	18
967	554	18
968	554	17
969	555	17
970	555	16
971	556	16
972	556	15
973	557	14
974	557	14
975	558	13
976	558	13
977	559	12
978	559	12
979	560	11
980	560	10
981	561	10
982	561	9
983	562	9
984	563	8
985	564	8
986	564	7
987	565	6
988	565	6
989	566	5
990	566	5
991	567	4
992	567	4
993	568	3
994	568	2
